date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:20	10800/10800	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:19%20GMT	https://www.makeding.com/idea.html	C:/My%20Websites/mkd/idea.html	(from https://www.makeding.com/)
21:06:20	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789576	C:/My%20Websites/mkd/load.min6ab6.js	(from https://www.makeding.com/)
21:06:20	243052/243052	---M--	200	added ('OK')	image/jpeg	etag:%22faa2fd9501d7045bacb670b291ee66aa%22	http://pic.mairuan.com/WebSource/makedingzh/web/images/news_ibm.jpg	C:/My%20Websites/mkd/WebSource/makedingzh/web/images/news_ibm.jpg	(from https://www.makeding.com/)
21:06:20	4879/4879	U-----	200	untouched ('')	image/png	etag:%224e77d71ae00d516e20d21f3032690a31%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon6.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon6.png	(from https://www.makeding.com/)
21:06:20	13700/13700	U-----	200	untouched ('')	image/png	etag:%2211f2c019596cddde91689573aae5c4a9%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon7.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon7.png	(from https://www.makeding.com/)
21:06:20	11290/11290	U-----	200	untouched ('')	image/png	etag:%22557b5ad0988644fc2823423f943072ed%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon8.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon8.png	(from https://www.makeding.com/)
21:06:20	6982/6982	U-----	200	untouched ('')	image/png	etag:%226a844f08dfc5eebc7824c7f98a75786b%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon10.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon10.png	(from https://www.makeding.com/)
21:06:20	3158/3158	U-----	200	untouched ('')	image/png	etag:%222d174fc818fe27b1a30b7c3a55b9d72c%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon9.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon9.png	(from https://www.makeding.com/)
21:06:20	260206/260206	U-----	200	untouched ('')	image/jpeg	etag:%223c933bd7a0c6940517a915a8b2846a0d%22	http://pic.mairuan.com/WebSource/makedingzh/web/images/news_20201111.jpg	C:/My%20Websites/mkd/WebSource/makedingzh/web/images/news_20201111.jpg	(from https://www.makeding.com/)
21:06:20	14736/14736	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:20%20GMT	https://www.makeding.com/gongsizixun/cj-2021-niandu.html	C:/My%20Websites/mkd/gongsizixun/cj-2021-niandu.html	(from https://www.makeding.com/)
21:06:20	34176/34176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb78fb94d6d8038cde2439a71bdcc7b3%22	https://cdn.mairuan.com/cdn/common/js/common.js?t=1612789576	C:/My%20Websites/mkd/cdn/common/js/common6ab6.js	(from https://www.makeding.com/)
21:06:20	2889/2889	U-----	200	untouched ('')	image/png	etag:%2240e0ece9130b4490f8f228576465ff4b%22	https://pic.mairuan.com/WebSource/makeding/web/images2/idx_product_icon11.png	C:/My%20Websites/mkd/WebSource/makeding/web/images2/idx_product_icon11.png	(from https://www.makeding.com/)
21:06:20	1015/1015	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edc10b86ca957a25d988ab51164af396%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/js/jquery.cookie.js	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/js/jquery.cookie.js	(from https://www.makeding.com/)
21:06:20	13609/13609	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:20%20GMT	https://www.makeding.com/gongsizixun/cj-ibm.html	C:/My%20Websites/mkd/gongsizixun/cj-ibm.html	(from https://www.makeding.com/)
21:06:20	165/165	---M--	200	added ('OK')	application/javascript	etag:%220fdec0fd4f99e608eb8f9d92e6778e14%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/js/ajaxsetup.js?v=1.0.1	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/js/ajaxsetupf700.js	(from https://www.makeding.com/)
21:06:21	110436/110436	---MCZ	200	added ('OK')	application/javascript	etag:W/%2207e7462c403368a2e88347e08f2b5517%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/js/menu_mr.js?v=1.0.58	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/js/menu_mr90a3.js	(from https://www.makeding.com/)
21:06:21	45001/45001	---MCZ	200	added ('OK')	application/javascript	etag:W/%228b56c6145b3e561d66ea3e6b75fcd56a%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/js/general_mr.js?v=1.0.25	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/js/general_mr7e88.js	(from https://www.makeding.com/)
21:06:21	13292/13292	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:21%20GMT	https://www.makeding.com/gongsizixun/cj-20201111.html	C:/My%20Websites/mkd/gongsizixun/cj-20201111.html	(from https://www.makeding.com/)
21:06:21	642/642	---M--	200	added ('OK')	application/javascript	etag:%225fbe178f-282%22	https://wm.makeding.com/static/External/wm_cookie.js	C:/My%20Websites/mkd/static/External/wm_cookie.js	(from https://www.makeding.com/)
21:06:21	16117/16117	U--MC-	200	updated ('OK')	text/html	date:Mon,%2008%20Feb%202021%2013:06:21%20GMT	https://www.makeding.com/market/CJ-SUN.html	C:/My%20Websites/mkd/market/CJ-SUN.html	(from https://www.makeding.com/)
